phecode,description,phecode_exclude_range,sex,rollup,leaf,groupnum,group,color,phecode_exclude_description,n_cases,n_controls
381.1,Otitis media,381-385.99,Both,1,0,7,sense organs,darkseagreen4, otitis media and related conditions,1824,404886
381.11,Suppurative and unspecified otitis media,381-385.99,Both,1,1,7,sense organs,darkseagreen4, otitis media and related conditions,856,404886
381.2,Eustachian tube disorders,381-385.99,Both,1,1,7,sense organs,darkseagreen4, otitis media and related conditions,193,404886
381.3,Mastoiditis & related conditions,381-385.99,Both,1,1,7,sense organs,darkseagreen4, otitis media and related conditions,172,404886
381.9,Otorrhea,381-385.99,Both,1,1,7,sense organs,darkseagreen4, otitis media and related conditions,281,404886
382,Otalgia,381-385.99,Both,1,1,7,sense organs,darkseagreen4, otitis media and related conditions,309,404886
383,Otosclerosis,381-385.99,Both,1,1,7,sense organs,darkseagreen4, otitis media and related conditions,310,404886
384,Other disorders of tympanic membrane,381-385.99,Both,1,0,7,sense organs,darkseagreen4, otitis media and related conditions,1364,404886
384.1,Myringitis,381-385.99,Both,1,1,7,sense organs,darkseagreen4, otitis media and related conditions,19,404886
384.4,Perforation of tympanic membrane,381-385.99,Both,1,1,7,sense organs,darkseagreen4, otitis media and related conditions,1044,404886
385,Other disorders of middle ear and mastoid,381-385.99,Both,1,0,7,sense organs,darkseagreen4, otitis media and related conditions,828,404886
385.3,Cholesteatoma,381-385.99,Both,1,1,7,sense organs,darkseagreen4, otitis media and related conditions,608,404886
385.5,Tympanosclerosis and middle ear disease related to otitis media,381-385.99,Both,1,1,7,sense organs,darkseagreen4, otitis media and related conditions,241,404886
386,Vertiginous syndromes and other disorders of vestibular system,386-386.99,Both,1,0,7,sense organs,darkseagreen4, conditions associated with dizziness or vertigo,1766,402825
386.1,Meniere's disease,386-386.99,Both,1,1,7,sense organs,darkseagreen4, conditions associated with dizziness or vertigo,578,402825
386.2,Peripheral or central vertigo,386-386.99,Both,1,0,7,sense organs,darkseagreen4, conditions associated with dizziness or vertigo,380,402825
386.21,Central origin vertigo,386-386.99,Both,1,1,7,sense organs,darkseagreen4, conditions associated with dizziness or vertigo,7,402825
386.3,Labyrinthitis,386-386.99,Both,1,1,7,sense organs,darkseagreen4, conditions associated with dizziness or vertigo,767,402825
386.9,Dizziness and giddiness (Light-headedness and vertigo),386-386.99,Both,0,1,7,sense organs,darkseagreen4, conditions associated with dizziness or vertigo,4611,402825
388,Other disorders of ear,387-389.99,Both,1,1,7,sense organs,darkseagreen4, Hearing loss and related disorders,202,404560
389,Hearing loss,387-389.99,Both,1,0,7,sense organs,darkseagreen4, Hearing loss and related disorders,4256,404560
389.1,Sensorineural hearing loss,387-389.99,Both,1,1,7,sense organs,darkseagreen4, Hearing loss and related disorders,456,404560
389.2,Conductive hearing loss,387-389.99,Both,1,1,7,sense organs,darkseagreen4, Hearing loss and related disorders,450,404560
389.3,Degenerative and vascular disorders of ear,387-389.99,Both,1,1,7,sense organs,darkseagreen4, Hearing loss and related disorders,42,404560
389.4,Tinnitus,387-389.99,Both,1,1,7,sense organs,darkseagreen4, Hearing loss and related disorders,515,404560
389.5,Disorders of acoustic nerve,387-389.99,Both,1,1,7,sense organs,darkseagreen4, Hearing loss and related disorders,32,404560
394,Rheumatic disease of the heart valves,394-399.99,Both,1,0,8,circulatory system,red, heart valve disorders,4928,402397
394.2,Mitral valve disease,394-399.99,Both,1,1,8,circulatory system,red, heart valve disorders,3003,402397
394.3,Aortic valve disease,394-399.99,Both,1,1,8,circulatory system,red, heart valve disorders,1286,402397
394.4,Acute rheumatic heart disease,394-399.99,Both,1,1,8,circulatory system,red, heart valve disorders,45,402397
394.7,Disease of tricuspid valve,394-399.99,Both,1,1,8,circulatory system,red, heart valve disorders,1058,402397
395,Heart valve disorders,394-399.99,Both,1,0,8,circulatory system,red, heart valve disorders,4261,402397
395.1,Nonrheumatic mitral valve disorders,394-399.99,Both,1,1,8,circulatory system,red, heart valve disorders,2900,402397
395.2,Nonrheumatic aortic valve disorders,394-399.99,Both,1,1,8,circulatory system,red, heart valve disorders,279,402397
395.3,Nonrheumatic tricuspid valve disorders,394-399.99,Both,1,1,8,circulatory system,red, heart valve disorders,105,402397
395.4,Nonrheumatic pulmonary valve disorders,394-399.99,Both,1,1,8,circulatory system,red, heart valve disorders,97,402397
395.6,Heart valve replaced,394-399.99,Both,1,1,8,circulatory system,red, heart valve disorders,1499,402397
396,Abnormal heart sounds,394-399.99,Both,1,1,8,circulatory system,red, heart valve disorders,1049,402397
401,Hypertension,401-405.99,Both,1,0,8,circulatory system,red,HYPERTENSIVE DISEASE,78155,330186
401.1,Essential hypertension,401-405.99,Both,1,1,8,circulatory system,red,HYPERTENSIVE DISEASE,77829,330186
401.2,Hypertensive heart and/or renal disease,401-405.99,Both,1,0,8,circulatory system,red,HYPERTENSIVE DISEASE,1911,330186
401.21,Hypertensive heart disease,401-405.99,Both,1,1,8,circulatory system,red,HYPERTENSIVE DISEASE,370,330186
401.22,Hypertensive chronic kidney disease,401-405.99,Both,1,1,8,circulatory system,red,HYPERTENSIVE DISEASE,1552,330186
401.3,Other hypertensive complications,401-405.99,Both,1,1,8,circulatory system,red,HYPERTENSIVE DISEASE,144,330186
402,Elevated blood pressure reading without diagnosis of hypertension,401-405.99,Both,1,0,8,circulatory system,red,HYPERTENSIVE DISEASE,1487,330186
411,Ischemic Heart Disease,410-414.99,Both,1,0,8,circulatory system,red,ISCHEMIC HEART DISEASE,32195,376261
411.1,Unstable angina (intermediate coronary syndrome),410-414.99,Both,1,1,8,circulatory system,red,ISCHEMIC HEART DISEASE,5181,376261
411.2,Myocardial infarction,410-414.99,Both,1,1,8,circulatory system,red,ISCHEMIC HEART DISEASE,12099,376261
411.3,Angina pectoris,410-414.99,Both,1,1,8,circulatory system,red,ISCHEMIC HEART DISEASE,16180,376261
411.4,Coronary atherosclerosis,410-414.99,Both,1,0,8,circulatory system,red,ISCHEMIC HEART DISEASE,20539,376261
411.41,Aneurysm and dissection of heart,410-414.99,Both,1,1,8,circulatory system,red,ISCHEMIC HEART DISEASE,701,376261
411.8,"Other chronic ischemic heart disease, unspecified",410-414.99,Both,1,1,8,circulatory system,red,ISCHEMIC HEART DISEASE,15568,376261
411.9,Other acute and subacute forms of ischemic heart disease,410-414.99,Both,1,1,8,circulatory system,red,ISCHEMIC HEART DISEASE,1219,376261
414,Other forms of chronic heart disease,410-414.99,Both,1,0,8,circulatory system,red,ISCHEMIC HEART DISEASE,1833,376261
414.2,ASCVD,410-414.99,Both,1,1,8,circulatory system,red,ISCHEMIC HEART DISEASE,72,376261
415,Pulmonary heart disease,415-417.99,Both,1,0,8,circulatory system,red,DISEASES OF PULMONARY CIRCULATION,4544,401980
415.1,Acute pulmonary heart disease,415-417.99,Both,1,0,8,circulatory system,red,DISEASES OF PULMONARY CIRCULATION,75,401980
415.11,"Pulmonary embolism and infarction, acute",415-417.99,Both,1,1,8,circulatory system,red,DISEASES OF PULMONARY CIRCULATION,75,401980
415.2,Chronic pulmonary heart disease,415-417.99,Both,1,0,8,circulatory system,red,DISEASES OF PULMONARY CIRCULATION,603,401980
415.21,Primary pulmonary hypertension,415-417.99,Both,1,1,8,circulatory system,red,DISEASES OF PULMONARY CIRCULATION,448,401980
416,Cardiomegaly,415-417.99,Both,1,1,8,circulatory system,red,DISEASES OF PULMONARY CIRCULATION,2695,401980
418,Nonspecific chest pain,418-418.99,Both,1,1,8,circulatory system,red, Nonspecific chest pain,29279,377529
418.1,Precordial pain,418-418.99,Both,0,1,8,circulatory system,red, Nonspecific chest pain,3582,377529
420,Carditis,420-425.99,Both,1,0,8,circulatory system,red, Other peri-; endo-; and myocarditis,2149,405624
420.1,Myocarditis,420-425.99,Both,1,1,8,circulatory system,red, Other peri-; endo-; and myocarditis,127,405624
420.2,Pericarditis,420-425.99,Both,1,0,8,circulatory system,red, Other peri-; endo-; and myocarditis,1347,405624
420.21,Acute pericarditis,420-425.99,Both,1,1,8,circulatory system,red, Other peri-; endo-; and myocarditis,224,405624
420.22,Chronic pericarditis,420-425.99,Both,1,1,8,circulatory system,red, Other peri-; endo-; and myocarditis,113,405624
420.3,Endocarditis,420-425.99,Both,1,1,8,circulatory system,red, Other peri-; endo-; and myocarditis,721,405624
425,Cardiomyopathy,420-425.99,Both,1,0,8,circulatory system,red, Other peri-; endo-; and myocarditis,1281,405624
425.1,Primary/intrinsic cardiomyopathies,420-425.99,Both,1,0,8,circulatory system,red, Other peri-; endo-; and myocarditis,1242,405624
425.11,Hypertrophic obstructive cardiomyopathy,420-425.99,Both,1,1,8,circulatory system,red, Other peri-; endo-; and myocarditis,134,405624
425.12,Other hypertrophic cardiomyopathy,420-425.99,Both,1,1,8,circulatory system,red, Other peri-; endo-; and myocarditis,166,405624
425.2,Secondary/extrinsic cardiomyopathies,420-425.99,Both,1,1,8,circulatory system,red, Other peri-; endo-; and myocarditis,6,405624
425.8,Other cardiomyopathy,420-425.99,Both,1,1,8,circulatory system,red, Other peri-; endo-; and myocarditis,60,405624
426,Cardiac conduction disorders,426-427.99,Both,1,0,8,circulatory system,red, cardiac conduction disorders,6962,380830
426.2,Atrioventricular [AV] block,426-427.99,Both,1,0,8,circulatory system,red, cardiac conduction disorders,2127,380830
426.21,First degree AV block,426-427.99,Both,1,1,8,circulatory system,red, cardiac conduction disorders,989,380830
426.23,Second degree AV block,426-427.99,Both,1,1,8,circulatory system,red, cardiac conduction disorders,453,380830
426.24,"Atrioventricular block, complete",426-427.99,Both,1,1,8,circulatory system,red, cardiac conduction disorders,588,380830
426.25,Other heart block,426-427.99,Both,1,1,8,circulatory system,red, cardiac conduction disorders,133,380830
426.3,Bundle branch block,426-427.99,Both,1,0,8,circulatory system,red, cardiac conduction disorders,3353,380830
426.31,Right bundle branch block,426-427.99,Both,1,1,8,circulatory system,red, cardiac conduction disorders,1498,380830
426.32,Left bundle branch block,426-427.99,Both,1,1,8,circulatory system,red, cardiac conduction disorders,1757,380830
426.4,Anomalous atrioventricular excitation,426-427.99,Both,1,1,8,circulatory system,red, cardiac conduction disorders,233,380830
426.8,Other cardiac conduction disorders,426-427.99,Both,1,1,8,circulatory system,red, cardiac conduction disorders,60,380830
426.9,Cardiac pacemaker/device in situ,426-427.99,Both,1,0,8,circulatory system,red, cardiac conduction disorders,2487,380830
426.91,Cardiac pacemaker in situ,426-427.99,Both,1,1,8,circulatory system,red, cardiac conduction disorders,2283,380830
427,Cardiac dysrhythmias,426-427.99,Both,1,0,8,circulatory system,red, cardiac conduction disorders,24772,380830
427.1,"Paroxysmal tachycardia, unspecified",426-427.99,Both,1,0,8,circulatory system,red, cardiac conduction disorders,3226,380830
427.11,Paroxysmal supraventricular tachycardia,426-427.99,Both,1,1,8,circulatory system,red, cardiac conduction disorders,2359,380830
427.12,Paroxysmal ventricular tachycardia,426-427.99,Both,1,1,8,circulatory system,red, cardiac conduction disorders,939,380830
427.2,Atrial fibrillation and flutter,426-427.99,Both,1,0,8,circulatory system,red, cardiac conduction disorders,14839,380830
427.3,Other specified cardiac dysrhythmias,426-427.99,Both,1,1,8,circulatory system,red, cardiac conduction disorders,3238,380830
427.4,Cardiac arrest and ventricular fibrillation,426-427.99,Both,1,0,8,circulatory system,red, cardiac conduction disorders,1200,380830
427.41,Ventricular fibrillation and flutter,426-427.99,Both,1,1,8,circulatory system,red, cardiac conduction disorders,344,380830
427.42,Cardiac arrest,426-427.99,Both,1,1,8,circulatory system,red, cardiac conduction disorders,991,380830
427.5,Arrhythmia (cardiac) NOS,426-427.99,Both,1,1,8,circulatory system,red, cardiac conduction disorders,959,380830
427.6,Premature beats,426-427.99,Both,1,0,8,circulatory system,red, cardiac conduction disorders,536,380830
427.61,Supraventricular premature beats,426-427.99,Both,1,1,8,circulatory system,red, cardiac conduction disorders,117,380830
427.7,Tachycardia NOS,426-427.99,Both,1,1,8,circulatory system,red, cardiac conduction disorders,2193,380830
427.8,Sinoatrial node dysfunction (Bradycardia),426-427.99,Both,1,1,8,circulatory system,red, cardiac conduction disorders,403,380830
427.9,Palpitations,426-427.99,Both,1,1,8,circulatory system,red, cardiac conduction disorders,3832,380830
428,Congestive heart failure; nonhypertensive,428-429.99,Both,1,0,8,circulatory system,red, Heart failure,5655,402593
428.1,Congestive heart failure (CHF) NOS,428-429.99,Both,1,1,8,circulatory system,red, Heart failure,2120,402593
428.2,Heart failure NOS,428-429.99,Both,1,1,8,circulatory system,red, Heart failure,4482,402593
429,Ill-defined descriptions and complications of heart disease,428-429.99,Both,1,0,8,circulatory system,red, Heart failure,734,402593
429.1,Heart transplant/surgery,428-429.99,Both,0,1,8,circulatory system,red, Heart failure,64,402593
429.2,Abnormal function study of cardiovascular system,428-429.99,Both,1,1,8,circulatory system,red, Heart failure,524,402593
429.3,Symptoms involving cardiovascular system,428-429.99,Both,1,1,8,circulatory system,red, Heart failure,198,402593
429.9,"Cardiac complications, not elsewhere classified",428-429.99,Both,1,1,8,circulatory system,red, Heart failure,12,402593
430,Intracranial hemorrhage,430-438.99,Both,1,0,8,circulatory system,red,CEREBROVASCULAR DISEASE,1910,398830
430.1,Subarachnoid hemorrhage,430-438.99,Both,1,1,8,circulatory system,red,CEREBROVASCULAR DISEASE,857,398830
430.2,Intracerebral hemorrhage,430-438.99,Both,1,1,8,circulatory system,red,CEREBROVASCULAR DISEASE,770,398830
430.3,Subdural hemorrhage,430-438.99,Both,1,1,8,circulatory system,red,CEREBROVASCULAR DISEASE,267,398830
433,Cerebrovascular disease,430-438.99,Both,1,0,8,circulatory system,red,CEREBROVASCULAR DISEASE,8868,398830
433.1,Occlusion and stenosis of precerebral arteries,430-438.99,Both,1,0,8,circulatory system,red,CEREBROVASCULAR DISEASE,1189,398830
433.11,"Occlusion of cerebral arteries, with cerebral infarction",430-438.99,Both,1,1,8,circulatory system,red,CEREBROVASCULAR DISEASE,6,398830
433.12,Cerebral atherosclerosis,430-438.99,Both,1,1,8,circulatory system,red,CEREBROVASCULAR DISEASE,227,398830
433.2,Occlusion of cerebral arteries,430-438.99,Both,1,0,8,circulatory system,red,CEREBROVASCULAR DISEASE,4254,398830
433.21,"Cerebral artery occlusion, with cerebral infarction",430-438.99,Both,1,1,8,circulatory system,red,CEREBROVASCULAR DISEASE,1688,398830
433.3,Cerebral ischemia,430-438.99,Both,1,0,8,circulatory system,red,CEREBROVASCULAR DISEASE,2929,398830
433.31,Transient cerebral ischemia,430-438.99,Both,1,1,8,circulatory system,red,CEREBROVASCULAR DISEASE,2149,398830
433.32,Moyamoya disease,430-438.99,Both,1,1,8,circulatory system,red,CEREBROVASCULAR DISEASE,1,398830
433.5,Cerebral aneurysm,430-438.99,Both,1,1,8,circulatory system,red,CEREBROVASCULAR DISEASE,395,398830
433.6,"Acute, but ill-defined cerebrovascular disease",430-438.99,Both,1,1,8,circulatory system,red,CEREBROVASCULAR DISEASE,14,398830
